issue_key,project,comment,author_id,created,start,start_date,duration
MED-421,MED,,1130000050186834,2022-05-01T20:13:15.340+0000,2022-05-01T15:12:00.000+0000,2022-05-01,18000
MED-426,MED,завел фт и задачу,1130000041038774,2022-05-03T21:41:59.084+0000,2022-05-03T15:00:00.000+0000,2022-05-03,3600
MED-429,MED,завел фт и задачи: 427-429,1130000041038774,2022-05-03T21:43:41.171+0000,2022-05-03T19:00:00.000+0000,2022-05-03,7200
MED-430,MED,завел фт и задачу,1130000041038774,2022-05-03T23:47:39.315+0000,2022-05-03T21:30:00.000+0000,2022-05-03,1800
MED-431,MED,завел фт и задачу,1130000041038774,2022-05-03T23:47:59.937+0000,2022-05-03T22:00:00.000+0000,2022-05-03,1800
MED-432,MED,завел фт и задачу,1130000041038774,2022-05-03T23:48:12.605+0000,2022-05-03T22:30:00.000+0000,2022-05-03,1800
MED-433,MED,завел фт и задачу,1130000041038774,2022-05-03T23:48:27.143+0000,2022-05-03T23:00:00.000+0000,2022-05-03,1800
MED-434,MED,завел фт и задачу,1130000041038774,2022-05-03T23:48:39.781+0000,2022-05-03T23:30:00.000+0000,2022-05-03,1800
MED-338,MED,,1130000029532100,2022-05-04T06:08:09.933+0000,2022-04-29T06:07:00.000+0000,2022-04-29,21600
MED-378,MED,,1130000029532100,2022-05-04T06:09:00.048+0000,2022-04-29T06:08:00.000+0000,2022-04-29,7200
MED-378,MED,,1130000029532100,2022-05-04T06:10:09.886+0000,2022-04-28T06:09:00.000+0000,2022-04-28,18000
MED-378,MED,,1130000029532100,2022-05-04T06:12:50.956+0000,2022-04-26T06:12:00.000+0000,2022-04-26,18000
MED-364,MED,,1130000029532100,2022-05-04T06:19:17.608+0000,2022-04-29T06:19:00.000+0000,2022-04-29,1800
MED-364,MED,,1130000029532100,2022-05-04T06:19:28.498+0000,2022-04-28T06:19:00.000+0000,2022-04-28,1800
MED-364,MED,,1130000029532100,2022-05-04T06:19:53.619+0000,2022-04-27T06:19:00.000+0000,2022-04-27,1800
MED-364,MED,,1130000029532100,2022-05-04T06:20:29.272+0000,2022-04-25T06:20:00.000+0000,2022-04-25,1800
MED-364,MED,,1130000029532100,2022-05-04T06:21:03.300+0000,2022-04-22T06:20:00.000+0000,2022-04-22,1800
MED-364,MED,,1130000029532100,2022-05-04T06:21:34.279+0000,2022-04-21T06:21:00.000+0000,2022-04-21,1800
MED-364,MED,,1130000029532100,2022-05-04T06:21:50.523+0000,2022-04-20T06:21:00.000+0000,2022-04-20,1800
MED-364,MED,,1130000029532100,2022-05-04T06:22:07.629+0000,2022-04-19T06:21:00.000+0000,2022-04-19,1800
MED-379,MED,,1130000029532100,2022-05-04T06:23:37.814+0000,2022-04-28T06:22:00.000+0000,2022-04-28,5400
MED-379,MED,,1130000029532100,2022-05-04T06:25:03.922+0000,2022-04-27T06:24:00.000+0000,2022-04-27,14400
MED-372,MED,,1130000029532100,2022-05-04T06:27:59.956+0000,2022-04-27T06:27:00.000+0000,2022-04-27,3600
MED-372,MED,,1130000029532100,2022-05-04T06:28:21.764+0000,2022-04-26T06:28:00.000+0000,2022-04-26,3600
EMA-1383,EMA,,1130000028116053,2022-05-04T06:28:39.421+0000,2022-04-29T06:27:00.000+0000,2022-04-29,3600
MED-372,MED,,1130000029532100,2022-05-04T06:28:43.401+0000,2022-04-25T06:28:00.000+0000,2022-04-25,14400
MED-374,MED,,1130000029532100,2022-05-04T06:29:34.663+0000,2022-04-25T06:29:00.000+0000,2022-04-25,12600
EMA-1424,EMA,,1130000028116053,2022-05-04T06:31:35.810+0000,2022-04-29T06:31:00.000+0000,2022-04-29,25200
MED-395,MED,,1130000057976826,2022-05-04T06:33:14.346+0000,2022-04-30T06:00:00.000+0000,2022-04-30,28800
LG-2529,LG,Анализ требований по работе фильтров и сравнение с фактической реализацией,1130000050115988,2022-05-04T07:03:01.200+0000,2022-05-04T07:02:00.000+0000,2022-05-04,3600
MED-364,MED,daily,1130000041038774,2022-05-04T07:32:42.560+0000,2022-05-04T06:30:00.000+0000,2022-05-04,1800
LG-2522,LG,daily,1130000041038774,2022-05-04T07:32:57.318+0000,2022-05-04T07:00:00.000+0000,2022-05-04,1800
LG-2522,LG,,1130000052766710,2022-05-04T07:34:11.116+0000,2022-05-04T07:34:00.000+0000,2022-05-04,1800
LG-2553,LG,,1130000054322053,2022-05-04T07:36:54.578+0000,2022-05-04T07:36:00.000+0000,2022-05-04,1800
LG-2554,LG,Анализ требований по работе фильтров и сравнение с фактической реализацией,1130000050115988,2022-05-04T07:41:06.051+0000,2022-05-04T07:40:00.000+0000,2022-05-04,3600
KENGURU-14,KENGURU,,1130000011574103,2022-05-04T07:50:08.144+0000,2022-05-04T07:50:00.000+0000,2022-05-04,60
MED-364,MED,,1130000022141610,2022-05-04T07:55:44.148+0000,2022-05-04T07:55:00.000+0000,2022-05-04,1800
UR-1410,UR,,1130000022141610,2022-05-04T07:56:06.916+0000,2022-05-04T07:56:00.000+0000,2022-05-04,600
EMA-871,EMA,,1130000039666236,2022-05-04T07:56:36.568+0000,2022-04-25T06:00:00.000+0000,2022-04-25,28800
EMA-871,EMA,,1130000039666236,2022-05-04T07:57:09.072+0000,2022-04-26T06:00:00.000+0000,2022-04-26,28800
EMA-1411,EMA,,1130000039666236,2022-05-04T07:57:26.139+0000,2022-04-27T06:00:00.000+0000,2022-04-27,28800
EMA-1411,EMA,,1130000039666236,2022-05-04T07:57:46.760+0000,2022-04-28T06:00:00.000+0000,2022-04-28,28800
EMA-1411,EMA,,1130000039666236,2022-05-04T07:57:59.859+0000,2022-04-29T06:00:00.000+0000,2022-04-29,28800
UR-1408,UR,,1130000022141610,2022-05-04T07:58:01.712+0000,2022-05-04T07:57:00.000+0000,2022-05-04,1200
LG-2555,LG,,1130000048543882,2022-05-04T08:30:44.006+0000,2022-04-29T00:00:00.000+0000,2022-04-29,21600
LG-2524,LG,,1130000048543882,2022-05-04T08:32:10.257+0000,2022-04-28T00:00:00.000+0000,2022-04-28,3600
LG-2555,LG,,1130000048543882,2022-05-04T08:32:36.887+0000,2022-05-04T08:30:45.083+0000,2022-05-04,9000
LG-2522,LG,,1130000048543882,2022-05-04T08:33:19.239+0000,2022-04-29T00:00:00.000+0000,2022-04-29,1800
LG-2522,LG,,1130000048543882,2022-05-04T08:33:27.599+0000,2022-04-29T00:00:00.000+0000,2022-04-29,1800
MED-286,MED,,1130000029532100,2022-05-04T08:36:29.677+0000,2022-04-25T08:36:00.000+0000,2022-04-25,14400
MED-286,MED,,1130000029532100,2022-05-04T08:37:11.276+0000,2022-04-22T08:36:00.000+0000,2022-04-22,21600
MED-374,MED,,1130000029532100,2022-05-04T08:37:53.516+0000,2022-04-22T08:37:00.000+0000,2022-04-22,5400
MED-364,MED,"Созвон, анализ задач. Разбор проблем с записью",1130000029532100,2022-05-04T08:40:56.444+0000,2022-05-04T08:40:00.000+0000,2022-05-04,7200
LGEXP-866,LGEXP,,1130000054322053,2022-05-04T09:15:17.310+0000,2022-05-04T09:15:00.000+0000,2022-05-04,2700
LG-2554,LG,Созвон для оценки задач,1130000050115988,2022-05-04T10:20:00.750+0000,2022-05-04T10:19:00.000+0000,2022-05-04,3600
LG-2554,LG,Анализ требований по работе фильтров и сравнение с фактической реализацией,1130000052766710,2022-05-04T10:57:32.863+0000,2022-05-04T10:57:00.000+0000,2022-05-04,7200
LGEXP-267,LGEXP,,1130000052766710,2022-05-04T11:00:43.218+0000,2022-05-04T11:00:00.000+0000,2022-05-04,900
LGEXP-404,LGEXP,,1130000052766710,2022-05-04T11:07:06.257+0000,2022-05-04T11:07:00.000+0000,2022-05-04,900
LGEXP-437,LGEXP,,1130000052766710,2022-05-04T11:18:23.308+0000,2022-05-04T11:18:00.000+0000,2022-05-04,1800
LG-2214,LG,,1130000054322053,2022-05-04T11:21:29.732+0000,2022-05-04T11:21:00.000+0000,2022-05-04,900
LG-2224,LG,,1130000054322053,2022-05-04T11:25:26.590+0000,2022-05-04T11:25:00.000+0000,2022-05-04,900
LG-2234,LG,,1130000054322053,2022-05-04T11:27:19.599+0000,2022-05-04T11:27:00.000+0000,2022-05-04,900
LG-2239,LG,,1130000054322053,2022-05-04T11:28:43.851+0000,2022-05-04T11:28:00.000+0000,2022-05-04,900
LG-2240,LG,,1130000054322053,2022-05-04T11:30:53.707+0000,2022-05-04T11:30:00.000+0000,2022-05-04,900
LG-2242,LG,,1130000054322053,2022-05-04T11:34:43.868+0000,2022-05-04T11:34:00.000+0000,2022-05-04,900
LGEXP-870,LGEXP,,1130000022141590,2022-05-04T11:45:42.124+0000,2022-05-04T11:45:00.000+0000,2022-05-04,3600
LG-2560,LG,,1130000052766710,2022-05-04T11:54:20.407+0000,2022-05-04T11:54:00.000+0000,2022-05-04,1800
LGEXP-414,LGEXP,,1130000052766710,2022-05-04T11:54:51.942+0000,2022-05-04T11:54:00.000+0000,2022-05-04,1800
MED-379,MED,некоторые доработки,1130000029532100,2022-05-04T12:35:33.177+0000,2022-05-04T12:34:00.000+0000,2022-05-04,5400
ORG-7,ORG,,1130000022141610,2022-05-04T12:58:29.314+0000,2022-05-04T12:58:00.000+0000,2022-05-04,3600
ORG-7,ORG,,1130000052766710,2022-05-04T12:58:41.809+0000,2022-05-04T12:58:00.000+0000,2022-05-04,3600
LGEXP-618,LGEXP,,1130000052766710,2022-05-04T13:21:16.404+0000,2022-05-04T13:21:00.000+0000,2022-05-04,1800
LGEXP-623,LGEXP,,1130000052766710,2022-05-04T13:35:10.884+0000,2022-05-04T13:35:00.000+0000,2022-05-04,1800
UR-1410,UR,,1130000022141610,2022-05-04T13:37:13.217+0000,2022-05-04T13:37:00.000+0000,2022-05-04,1200
LGEXP-627,LGEXP,,1130000052766710,2022-05-04T13:37:40.263+0000,2022-05-04T13:37:00.000+0000,2022-05-04,900
LG-2546,LG,,1130000022141590,2022-05-04T14:04:02.770+0000,2022-04-29T14:03:00.000+0000,2022-04-29,21600
LGEXP-631,LGEXP,,1130000052766710,2022-05-04T15:18:25.122+0000,2022-05-04T15:18:00.000+0000,2022-05-04,1800
LG-2538,LG,,1130000052766710,2022-05-04T15:18:47.779+0000,2022-05-04T15:18:00.000+0000,2022-05-04,3600
ORG-5,ORG,,1130000022141610,2022-05-04T15:30:11.488+0000,2022-05-04T15:30:00.000+0000,2022-05-04,14400
LG-2555,LG,,1130000048543882,2022-05-04T15:37:54.434+0000,2022-05-04T15:37:41.809+0000,2022-05-04,19800
LG-2553,LG,,1130000048543882,2022-05-04T15:38:15.034+0000,2022-05-04T15:37:59.648+0000,2022-05-04,1800
LG-2553,LG,,1130000048543882,2022-05-04T15:38:20.813+0000,2022-05-04T15:38:15.395+0000,2022-05-04,2700
DSGN-1,DSGN,,1130000011574103,2022-05-04T15:40:20.981+0000,2022-05-04T15:40:00.000+0000,2022-05-04,93600
LG-2560,LG,,1130000050115988,2022-05-04T15:42:08.014+0000,2022-05-04T15:42:00.000+0000,2022-05-04,10800
LG-2559,LG,,1130000050115988,2022-05-04T15:42:16.540+0000,2022-05-04T15:42:00.000+0000,2022-05-04,10800
KENGURU-22,KENGURU,,1130000054322053,2022-05-04T15:54:03.262+0000,2022-05-04T15:53:00.000+0000,2022-05-04,900
ORG-7,ORG,,1130000054322053,2022-05-04T15:54:43.448+0000,2022-05-04T15:54:00.000+0000,2022-05-04,3600
LG-2535,LG,,1130000054322053,2022-05-04T15:56:18.260+0000,2022-05-04T15:56:00.000+0000,2022-05-04,19800
ES-1,ES,,1130000011574103,2022-05-04T15:57:51.447+0000,2022-05-04T15:57:00.000+0000,2022-05-04,639000
ES-1,ES,,1130000011574103,2022-05-04T15:58:26.900+0000,2022-05-04T15:58:00.000+0000,2022-05-04,432000
ES-1,ES,,1130000011574103,2022-05-04T15:58:54.320+0000,2022-05-04T15:58:00.000+0000,2022-05-04,237600
ES-1,ES,,1130000011574103,2022-05-04T16:00:15.692+0000,2022-05-04T16:00:00.000+0000,2022-05-04,2217600
DSGN-54,DSGN,"Кейс Vichy, начало работы над кейсом CeraVe",1130000034984248,2022-05-04T16:05:36.278+0000,2022-05-04T06:00:00.000+0000,2022-05-04,28800
ORG-5,ORG,,1130000034984126,2022-05-04T16:23:23.645+0000,2022-05-04T16:23:00.000+0000,2022-05-04,1800
MED-435,MED,,1130000034984126,2022-05-04T17:10:13.117+0000,2022-05-04T17:10:00.000+0000,2022-05-04,3600
MED-395,MED,,1130000057976826,2022-05-04T19:50:48.757+0000,2022-05-04T07:00:00.000+0000,2022-05-04,32400
EMA-1411,EMA,,1130000039666236,2022-05-04T21:13:10.983+0000,2022-05-04T06:00:00.000+0000,2022-05-04,28800
LG-2280,LG,,1130000054322053,2022-05-05T06:01:06.316+0000,2022-05-05T06:01:00.000+0000,2022-05-05,900
LG-2297,LG,,1130000054322053,2022-05-05T06:03:38.604+0000,2022-05-05T06:03:00.000+0000,2022-05-05,900
LG-2341,LG,,1130000054322053,2022-05-05T06:09:29.537+0000,2022-05-05T06:09:00.000+0000,2022-05-05,900
